Category,Project,Input - First question,Input - Follow-up 1 (optional),Input - Follow-up 2 (optional),Evaluator - checklist
Navigation,XS - ECS Racing,What responsibility of VehicleSmoothingSystem?,,,Description of what the system is responsible for.
Navigation,XS - ECS Racing,What object is responsible for car skin choosing before race functionality?,,,List of classes that are involved in the functionality.
Navigation,XS - ECS Racing,How is a server connection working in project,Example How can I retrieve data between client and server,,Explanation and examples how the server and the client connects and share data
Coding tasks (snippets),XS - ECS Racing,"Is there any logical-related issues in PlayerSpawnSystem object? This object functionality meant to get the connection and spawn the players.

    /// <summary>
    /// Gets the connection and spawn the player
    /// </summary>
    [WorldSystemFilter(WorldSystemFilterFlags.ServerSimulation)]
    [UpdateInGroup(typeof(GhostSimulationSystemGroup))]
    public partial struct PlayerSpawnSystem : ISystem
    {
        [BurstCompile]
        public void OnCreate(ref SystemState state)
        {
            // Must wait for the spawner entity scene to be streamed in, most likely instantaneous in
            // this sample but good to be sure
            state.RequireForUpdate<AutoConnect>();
            state.RequireForUpdate<PlayerSpawner>();
        }

        [BurstCompile]
        public void OnUpdate(ref SystemState state)
        {
            var commandBuffer = new EntityCommandBuffer(Allocator.TempJob);
            var spawnPointBuffer = GetSingletonBuffer<SpawnPoint>(true);
            var skinBuffer = GetSingletonBuffer<SkinElement>(true);
            foreach (var request in Query<SpawnPlayerRequestAspect>())
            {
                commandBuffer.DestroyEntity(request.Self);

                var entityNetwork = request.SourceConnection;
                var networkId = state.EntityManager.GetComponentData<NetworkId>(entityNetwork);
                Debug.Log($""Spawning player for connection {networkId.Value}"");

                // Instantiate the Car Base for this skin
                var player = commandBuffer.Instantiate(skinBuffer[request.Id].BaseType);

                // The network ID owner must be set on the ghost owner component on the players
                // this is used internally for example to set up the CommandTarget properly
                commandBuffer.SetComponent(player, new GhostOwner {NetworkId = networkId.Value});
                var name = request.Name;
                name = name == """" ? $""Player{networkId.Value}"" : name;
                commandBuffer.SetComponent(player, new PlayerName {Name = name});
                commandBuffer.SetComponent(player, new Player {State = PlayerState.Lobby});

                // Mark that this connection has had a player spawned for it so we won't process it again
                commandBuffer.AddComponent<PlayerSpawned>(entityNetwork);

                // Give each NetworkId their own spawn pos:
                var index = (networkId.Value - 1) % spawnPointBuffer.Length;
                var position = spawnPointBuffer[index].LobbyPosition;
                var rotation = spawnPointBuffer[index].LobbyRotation;
                commandBuffer.SetComponent(player, new LocalTransform
                {
                    Position = position,
                    Rotation = rotation,
                    Scale = 1
                });
                commandBuffer.SetComponent(player, new LapProgress
                {
                    LastCheckPointPosition = position,
                    LapCount = 10
                });
                commandBuffer.SetComponent(player, new Reset
                {
                    TargetPosition = position,
                    TargetRotation = rotation
                });
                commandBuffer.SetComponent(player, new Skin
                {
                    Id = request.Id
                });

                // Add the player to the linked entity group on the connection so it is destroyed
                // automatically on disconnect (destroyed with connection entity destruction)
                commandBuffer.AppendToBuffer(entityNetwork, new LinkedEntityGroup {Value = player});

                // Create an entity to allow server to reset when all players disconnect
                if (!HasSingleton<ResetServerOnDisconnect>())
                {
                    var e = state.EntityManager.CreateEntity();
                    commandBuffer.AddComponent<ResetServerOnDisconnect>(e);
                }
            }

            commandBuffer.Playback(state.EntityManager);
        }
    }",,,Spots 2 issues in the logic.
Refactoring,XS - ECS Racing,"Provide overview of the object code state:

    public partial struct SteeringJob : IJobEntity
    {
        public float DeltaTime;

        private void Execute(in Steering steering, in WheelDriveControls wheelDriveControls,
            ref LocalTransform localTransform, ref Wheel wheel)
        {
            float steeringAngle;
            var steeringAmount = wheelDriveControls.SteerAmount;
            if (steeringAmount > 0)
            {
                var dir = wheel.Placement == WheelPlacement.FrontLeft ? 1 : -1;
                steeringAngle = steering.CalculateSteeringAngle(steeringAmount, dir);
            }
            else if (steeringAmount < 0)
            {
                var dir = wheel.Placement == WheelPlacement.FrontRight ? 1 : -1;
                steeringAngle = steering.CalculateSteeringAngle(steeringAmount, dir);
            }
            else
            {
                steeringAngle = 0.0f;
            }

            wheel.SteeringAngle = steeringAngle;

            var targetRotation = quaternion.AxisAngle(math.up(), steeringAngle);
            localTransform.Rotation = math.slerp(localTransform.Rotation, targetRotation,
                steering.SteeringTime * DeltaTime);
        }
    }",Can you add more details to this in context of current project?,,Description of what code does in context of current project.
Refactoring,XS - ECS Racing,"How to increase object consistency?

    public struct LapProgress : IComponentData
    {
        [GhostField] public int CurrentCheckPoint;
        [GhostField] public int LapCount;
        [GhostField] public int CurrentLap;
        [GhostField] public float3 LastCheckPointPosition;
        [GhostField] public bool AddedToLeaderboard;
        [GhostField] public float CelebrationIdleDelay;
        [GhostField] public double ArrivalTime;

        public int NextPointId => CurrentCheckPoint + 1;

        public bool HasArrived => ArrivalTime > 0;

        public void Reset(int lapCount = 1)
        {
            CurrentCheckPoint = 0;
            CurrentLap = 1;
            AddedToLeaderboard = false;
            LapCount = lapCount;
            CelebrationIdleDelay = 0;
            ArrivalTime = 0;
        }
    }",,,Suggestions on how to improve consistency of the given code in context of the project.
Refactoring,XS - ECS Racing,"How to optimize data retrieving in this object?

    [WorldSystemFilter(WorldSystemFilterFlags.ClientSimulation | WorldSystemFilterFlags.ThinClientSimulation)]
    public partial struct TestStartRaceSystem : ISystem
    {
        public void OnCreate(ref SystemState state)
        {
            state.RequireForUpdate<NetworkId>();
            state.RequireForUpdate<Race>();
        }

        public void OnUpdate(ref SystemState state)
        {
            var race = GetSingleton<Race>();
            if (race.State is RaceState.StartingRaceAutomatically)
            {
                if (TryGetSingleton<NetworkId>(out var carNetworkId))
                {
                    foreach (var car in Query<PlayerAspect>())
                    {
                        if (car.NetworkId == carNetworkId.Value)
                        {
                            state.Enabled = false;
                            state.EntityManager.CreateEntity(typeof(PlayersReadyRPC),
                                typeof(SendRpcCommandRequest));
                        }
                    }
                }
            }
        }
    }",,,Optimized code.
Refactoring,XS - ECS Racing,"How to optimize this object?

/// <summary>
/// Update the Player Audio Sources position and volume
/// </summary>
[UpdateAfter(typeof(UpdateCameraTargetSystem))]
[WorldSystemFilter(WorldSystemFilterFlags.ClientSimulation | WorldSystemFilterFlags.ThinClientSimulation)]
public partial struct UpdateAudioSourceSystem : ISystem
{
    public void OnDestroy(ref SystemState state)
    {
        foreach (var car in Query<PlayerAspect>().WithAll<AudioSourceTag>())
        {
            PlayerAudioManager.Instance.DeleteAudioSource(car.Self);
        }
    }

    public void OnUpdate(ref SystemState state)
    {
        if (PlayerAudioManager.Instance == null)
        {
            return;
        }

        var ecb = new EntityCommandBuffer(state.WorldUpdateAllocator);
        foreach (var car in Query<PlayerAspect>().WithNone<AudioSourceTag>())
        {
            var isLocalUser = state.EntityManager.HasComponent<LocalUser>(car.Self);
            PlayerAudioManager.Instance.AddAudioSource(car.Self, isLocalUser);
            ecb.AddComponent<AudioSourceTag>(car.Self);
        }

        foreach (var audio in Query<AudioAspect>())
        {
            PlayerAudioManager.Instance.UpdatePitchAndVolume(audio.Self, audio.GetVolumeRange());
            PlayerAudioManager.Instance.UpdatePosition(audio.Self, audio.LocalToWorld.Position,
                state.EntityManager);
        }

        ecb.Playback(state.EntityManager);
        ecb.Dispose();
    }
}",,,Suggestions on how to optimize the object.
Refactoring,XS - ECS Racing,"How to refactor this object?

using Unity.Entities.Racing.Common;
using Unity.NetCode;
using static Unity.Entities.SystemAPI;

namespace Unity.Entities.Racing.Gameplay
{
    /// <summary>
    /// Adds events to lobby buttons.
    /// </summary>
    [WorldSystemFilter(WorldSystemFilterFlags.ClientSimulation)]
    public partial struct InitializeHUDSystem : ISystem
    {
        private bool m_HUDInitialized;

        public void OnCreate(ref SystemState state)
        {
            state.RequireForUpdate<NetworkId>();
        }

        public void OnUpdate(ref SystemState state)
        {
            if (m_HUDInitialized)
                return;

            if (HUDController.Instance == null)
                return;

            var entityManager = state.EntityManager;
            var networkId = GetSingleton<NetworkId>().Value;

            HUDController.CancelStartButton.clicked += () =>
            {
                PlayerAudioManager.Instance.PlayClick();
                entityManager.CreateEntity(typeof(CancelPlayerReadyRPC), typeof(SendRpcCommandRequest));
            };

            HUDController.ResetCarButton.clicked += () =>
            {
                var requestEntity = entityManager.CreateEntity(typeof(SendRpcCommandRequest));
                entityManager.AddComponentData(requestEntity, new ResetCarRPC {Id = networkId});
                PlayerAudioManager.Instance.PlayClick();
            };

            HUDController.StartRaceButton.clicked += () =>
            {
                entityManager.CreateEntity(typeof(PlayersReadyRPC), typeof(SendRpcCommandRequest));
                PlayerAudioManager.Instance.PlayClick();
            };

            m_HUDInitialized = true;
        }
    }
}",,,A refactored code.
Coding tasks (snippets),XS - ECS Racing,"Create a method that receives a list of PlayerAspect on input, process data by sorting elements where highest LapProgress (highest LapCount and highest CurrentCheckPoint) goes first and gives sorted list of PlayerAspect on the output.",,,A method that performs optimally and uses project codebase.
Coding tasks (snippets),XS - ECS Racing,Create formula for an engine and rpm calculation and add to the project,,,As mentioned in the input
Coding tasks (snippets),XS - ECS Racing,Create quaternion transformation to transform camera to be facing opposite direction.,,,A working solution in Unity.
Coding tasks (snippets),XS - ECS Racing,"Create an interface for PlayerAudioManager functionality.

using System.Collections;
using System.Collections.Generic;
using Unity.Mathematics;
using UnityEditor;
using UnityEngine;
using UnityEngine.Audio;
using UnityEngine.SceneManagement;

namespace Unity.Entities.Racing.Gameplay
{
    /// <summary>
    /// Creates audio source and handles volume and position
    /// </summary>
    public class PlayerAudioManager : MonoBehaviour
    {
        public static PlayerAudioManager Instance;
        public float InitialAudioSourceVolume;
        public AnimationCurve VolumeCurve;
        public AnimationCurve PitchCurve;
        public GameObject ReverbZonesPrefab;
        public GameObject AudioSourcePrefab;
        public AudioClip StartEngine;
        public AudioClip LoopEngine;
        public AudioClip TopSpeed;

        public AudioClip Lobby;
        public AudioClip Click;
        public AudioClip Race;
        public AudioClip Celebration;

        public AudioMixerGroup MusicChannel;
        public AudioMixerGroup UIChannel;
        public AudioMixer AudioMixer;
        private readonly Dictionary<Entity, AudioReference> m_Collection = new();
        private Scene m_AdditiveScene;
        private AudioSource MusicAudioSource;
        private AudioSource UIAudioSource;

        private float m_PreviousVolume = 1f;
        private GameObject m_ReverbZones;

        public bool IsMute
        {
            get
            {
                AudioMixer.GetFloat(""Volume"", out var value);
                return value < -180f;
            }
        }

        private void Awake()
        {
            if (Instance == null)
            {
                Instance = this;
#if UNITY_EDITOR
                if (!EditorApplication.isPlayingOrWillChangePlaymode)
                {
                    m_AdditiveScene = SceneManager.GetSceneByName(""AdditiveAudioSourceScene"");
                }
                else
#endif
                {
                    m_AdditiveScene = SceneManager.CreateScene(""AdditiveAudioSourceScenePlayMode"");
                }

                m_ReverbZones = Instantiate(ReverbZonesPrefab);
                SceneManager.MoveGameObjectToScene(m_ReverbZones, m_AdditiveScene);
            }
        }

        public void ToggleVolume()
        {
            if (IsMute)
            {
                m_PreviousVolume = 1f;
                m_ReverbZones.SetActive(true);
            }
            else
            {
                m_PreviousVolume = 0.0001f;
                m_ReverbZones.SetActive(false);
            }

            AudioMixer.SetFloat(""Volume"", math.log(m_PreviousVolume) * 20f);
        }

        public void AddAudioSource(Entity player, bool is2D)
        {
            if (m_Collection.ContainsKey(player))
            {
                DeleteAudioSource(player);
            }

            var instance = Instantiate(AudioSourcePrefab);
            var audioSource = InstantiateAudioSource(instance, StartEngine, is2D);
            instance.name = $""{(is2D ? ""2D"" : ""3D"")} AudioSource - Entity : [{player.Index}]"";

            var data = new AudioReference
            {
                GameObject = instance,
                AudioSource = audioSource,
                StartEngine = audioSource.clip
            };

            m_Collection.Add(player, data);
            SceneManager.MoveGameObjectToScene(instance, m_AdditiveScene);
            StartCoroutine(InitEngine(audioSource));
        }

        public void UpdatePosition(Entity player, float3 position, EntityManager manager)
        {
            if (!math.isfinite(position).x)
            {
                return;
            }

            if (m_Collection.ContainsKey(player))
            {
                m_Collection[player].GameObject.transform.position = position;
            }


            var list = new List<Entity>();
            foreach (var entity in m_Collection.Keys)
            {
                if (!manager.Exists(entity))
                {
                    list.Add(entity);
                }
            }

            foreach (var entity in list)
            {
                DeleteAudioSource(entity);
            }
        }

        public void DeleteAudioSource(Entity player)
        {
            if (m_Collection.ContainsKey(player))
            {
                Destroy(m_Collection[player].GameObject);
                m_Collection.Remove(player);
            }
        }

        public void UpdatePitchAndVolume(Entity player, float velocity)
        {
            if (m_Collection.ContainsKey(player) &&
                m_Collection[player].AudioSource.clip != m_Collection[player].StartEngine)
            {
                if (velocity >= 1f && m_Collection[player].AudioSource.clip != TopSpeed)
                {
                    ChangeAudio(m_Collection[player].AudioSource, TopSpeed);
                }

                else if (velocity < 1f && m_Collection[player].AudioSource.clip != LoopEngine)
                {
                    ChangeAudio(m_Collection[player].AudioSource, LoopEngine);
                }

                m_Collection[player].AudioSource.pitch = PitchCurve.Evaluate(velocity);
                m_Collection[player].AudioSource.volume = VolumeCurve.Evaluate(velocity);
            }
        }

        public void CreateAndPlayMusicAudioSourceOnce()
        {
            if (MusicAudioSource != null)
                return;

            var instance = Instantiate(AudioSourcePrefab);
            instance.name = ""Music - AudioSource"";
            MusicAudioSource = InstantiateAudioSource(instance, Lobby,true);
            MusicAudioSource.outputAudioMixerGroup = MusicChannel;
            MusicAudioSource.bypassEffects = true;
            MusicAudioSource.bypassListenerEffects = true;
            MusicAudioSource.bypassReverbZones = true;
            MusicAudioSource.Play();
            SceneManager.MoveGameObjectToScene(instance, m_AdditiveScene);
        }

        public void CreateUIAudioSource()
        {
            if (UIAudioSource != null)
                return;

            var instance = Instantiate(AudioSourcePrefab);
            instance.name = ""UI - AudioSource"";
            UIAudioSource = InstantiateAudioSource(instance, Click, true);
            UIAudioSource.outputAudioMixerGroup = UIChannel;
            UIAudioSource.bypassReverbZones = true;
            UIAudioSource.bypassListenerEffects = true;
            UIAudioSource.bypassEffects = true;
            UIAudioSource.loop = false;
            SceneManager.MoveGameObjectToScene(instance, m_AdditiveScene);
        }

        public void PlayRaceMusic()
        {
            ChangeAudio(MusicAudioSource, Race);
        }

        public void PlayCelebrationMusic()
        {
            ChangeAudio(MusicAudioSource, Celebration);
        }

        public void PlayLobbyMusic()
        {
            ChangeAudio(MusicAudioSource, Lobby);
        }

        public void PlayClick()
        {
            if (UIAudioSource == null)
            {
                CreateUIAudioSource();
            }
            UIAudioSource.clip = Click;
            UIAudioSource.Play();
        }

        private IEnumerator InitEngine(AudioSource audioSource)
        {
            ChangeAudio(audioSource, StartEngine);
            audioSource.Play();
            yield return new WaitForEndOfFrame();
            yield return new WaitForSeconds(audioSource.clip.length);
            ChangeAudio(audioSource, LoopEngine);
        }

        private AudioSource InstantiateAudioSource(GameObject instance, AudioClip clip, bool is2D)
        {
            var audioSource = instance.GetComponent<AudioSource>();
            audioSource.spatialBlend = is2D ? 0f : 1f;
            audioSource.clip = clip;
            audioSource.volume = InitialAudioSourceVolume;
            audioSource.velocityUpdateMode = AudioVelocityUpdateMode.Fixed;
            return audioSource;
        }

        private void ChangeAudio(AudioSource audioSource, AudioClip clip)
        {
            if (audioSource.clip != clip)
            {
                audioSource.clip = clip;
                audioSource.Play();
            }
        }

        private struct AudioReference
        {
            public GameObject GameObject;
            public AudioSource AudioSource;
            public AudioClip StartEngine;
        }
    }
}",,,An interface that provided code would implement.
Test automation,XS - ECS Racing,"Create UnitTest for this method.

public static bool ValidateIPv4(string ipString)
{
    if (string.IsNullOrWhiteSpace(ipString))
    {
        return false;
    }

    var splitValues = ipString.Split('.');
    if (splitValues.Length != 4)
    {
        return false;
    }

    return splitValues.All(r => byte.TryParse(r, out var tempForParsing)) && ValidateIP(ipString);
}

private static bool ValidateIP(string addrString)
{
    return IPAddress.TryParse(addrString, out var address);
}",,,A good unit test for method.
Navigation,XS - ECS Racing,Which feature is responsible for car movement functionality?,,,Provides concrete script reference where the functionality is located.
Navigation,XS - ECS Racing,What method is responsible for player rank calculation?,,,Provides concrete script reference where the functionality is located.
Navigation,XS - ECS Racing,What responsibility of method Lerp in Wheel component data?,Analyze Wheel.cs script from the project and answer previous question again.,,Provides good description of what the method does.
Navigation,XS - ECS Racing,Provide an overview of the vehicle simulation feature.,Provide an overview of the vehicle simulation feature in the ECS-Network-Racing-Sample project.,,Provides good description of what the feature does. With references to the project.
Refactoring,XS - ECS Racing,"How could I improve performance of this method?

public void OnUpdate(ref SystemState state)
{
    var race = SystemAPI.GetSingleton<Race>();
    if (!race.IsFinishing)
        return;

    foreach (var localPlayer in Query<LocalPlayerAspect>())
    {
        if (localPlayer.Player.InRace || localPlayer.Player.IsCelebrating || localPlayer.Player.HasFinished)
        {
            var currentTimer = (int)race.CurrentTimer;
            if (HUDController.Instance != null)
            {
                HUDController.Instance.ShowFinishCounter(currentTimer);
            }
        }
    }
}",,,A working example of optimized code.
Refactoring,XS - ECS Racing,"How to refactor this method?

private void OnJoinButtonClicked()
{
    if (!ServerConnectionUtils.ValidateIPv4(m_IpField.value))
    {
        Popup.Instance.Show(""Error"", ""Please enter a valid IP."", ""Retry"");
        return;
    }

    // Assign Player Name
    PlayerInfoController.Instance.LocalPlayerName = m_NameField.value;

    // Disable Main Menu
    m_MainMenuPanel.style.display = DisplayStyle.None;

    // Switch camera
    if (MainMenuCameraSwitcher.Instance != null)
    {
        MainMenuCameraSwitcher.Instance.ShowCarSelectionCamera();
        CarSelectionUI.Instance.ShowCarSelection(true);
    }

    // Stop checking input in Main Menu
    StopCoroutine(UpdateInput());
    m_InMainMenu = false;

    // Set Player Info for Connection
    PlayerInfoController.Instance.SetConnectionInfo(m_IpField.value, m_PortField.value);
    PlayerAudioManager.Instance.PlayClick();
}",,,Provides a refactored code with explanations.
Bug fixing,XS - ECS Racing,"        [BurstCompile]
        public void OnUpdate(ref SystemState state)
        {
            var id = GetSingleton<NetworkId>();
            var ecb = new EntityCommandBuffer(Allocator.TempJob);
            foreach (var player in Query<PlayerAspect>())
            {
                if (player.NetworkId == id.Value)
                {
                    ecb.AddComponent<LocalUser>(player.Self);
                }
            }

            ecb.Playback(state.EntityManager);
        }

Fix all of the errors in this code:
- LocalUser component is added multiple times
- present memory leak",,,Points out at two issues and how to address them.
Bug fixing,XS - ECS Racing,"Explain this error in details.

error CS0006: Metadata file 'Library/PackageCache/com.unity.ext.nunit@2.0.3/net35/unity-custom/nunit.framework.dll' could not be found
extmeshpro@3.0.6/Scripts/Runtime/TMP_SpriteAnimator.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SpriteAsset.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SpriteAssetImportFormats.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SpriteCharacter.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SpriteGlyph.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_Style.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_StyleSheet.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SubMesh.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_SubMeshUI.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_Text.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextElement.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextElement_Legacy.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextInfo.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextParsingUtilities.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextProcessingStack.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_TextUtilities.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_UpdateManager.cs""
""Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_UpdateRegistery.cs""
-langversion:9.0
/deterministic
/optimize-
/debug:portable
/nologo
/RuntimeMetadataVersion:v4.0.30319
/nowarn:0169
/nowarn:0649
/nowarn:0282
/nowarn:1701
/nowarn:1702
/utf8output
/preferreduilang:en-US
-warn:0
/additionalfile:""Library/Bee/artifacts/200b0aEDbg.dag/Unity.TextMeshPro.UnityAdditionalFile.txt""",,,Provides a reason and potential solution.
